Product category,Product/Service,Memo/Description,COSTO FALCON,costo jesus,,,,,
Hydraulic Oils,   01-HYO-02,ISO 46 AW Hydraulic Oil (5 gal Pail),28,"37,33333333",,,,,
Hydraulic Oils,   01-HYO-03,ISO 68 AW Hydraulic Oil (5 gal Pail),28,"37,33333333",,,,,
Hydraulic Oils,   02-HYO-01,ISO 32  AW Hydraulic Oil (55 gal Drum),268,335,,,,,
Hydraulic Oils,   02-HYO-02,ISO 46 AW Hydraulic Oil (55 gal Drum),268,335,,,,,
Hydraulic Oils,   02-HYO-03,ISO 68 AW Hydraulic Oil (55 gal Drum),268,335,,,,,
Miscellaneous,   14200,Red Grease Nro 2 (Can 120 lb),180,225,,,,,
Miscellaneous,   01-OD,Balcones Oil Dry (40lb bag),"8,85",,,,,,
Miscellaneous,   04-GADUS,Red Grease Gadus  (10x14 onz),20,25,,,,,
Miscellaneous,   01-CTRG,Clothe Rags (Pack),50,,,,,,
Miscellaneous,   01-14200,Red Grease Nro 2 (35 lb),49,,,,,,
Synthetic Blend Motor Oil,   00-SBMO-01,"SAE 5W-20 Synthetic Blend Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","4,5","5,625",,,,,
Synthetic Blend Motor Oil,   00-SBMO-02A,SAE 5W-30 Synthetic Blend Motor Oil; High Mileage (Bulk),"4,5",,,,,,
Synthetic Blend Motor Oil,   00-SBMO-02,"SAE 5W-30 Synthetic Blend Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","4,5","5,625",,,,,
Synthetic Blend Motor Oil,   00-SBMO-03A,"SAE 10W-30 High Mileage Synthetic Blend Motor Oil, API SN Plus (Bulk)","4,5",,,,,,
Synthetic Blend Motor Oil,   00-SBMO-03,"SAE 10W-30 Synthetic Blend Motor Oil, API SN Plus (Bulk)","4,5","5,625",,,,,
Synthetic Blend Motor Oil,   00-SBMO-04,"SAE 10W-40 Synthetic Blend Motor Oil, API SN Plus (Bulk)","4,67","5,8375",,,,,
Synthetic Blend Motor Oil,   01-SBMO-01,"SAE 5W-20 Synthetic Blend Motor Oil, API SN Plus, ILSAC GF-5 (5 gal Pail)","31,5",42,,,,,
Synthetic Blend Motor Oil,   01-SBMO-02,"SAE 5W-30 Synthetic Blend Motor Oil, API SN Plus, ILSAC GF-5 (5 gal Pail)","31,5",42,,,,,
Synthetic Blend Motor Oil,   01-SBMO-03,"SAE 10W-30 Synthetic Blend Motor Oil, API SN Plus (5 gal Pail)","31,5",42,,,,,
Synthetic Blend Motor Oil,   01-SBMO-04,"SAE 10W-40 Synthetic Blend Motor Oil, API SN Plus (5 gal Pail)","32,5",42,,,,,
Synthetic Blend Motor Oil,   01-SBMO-06,"SAE 20W-50 Synthetic Blend Motor Oil, API SN Plus (5 gal Pail)","34,6","46,13333333",,,,,
Synthetic Blend Motor Oil,   02-SBMO-01,"SAE 5W-20 Synthetic Blend Motor Oil, API SN Plus, ILSAC GF-5 (55 gal)","295,5","369,375",,,,,
